episode,total_reward,avg_energy_saved,avg_comfort_score,avg_wait_time,epsilon
121,3.0,-1.8645,0.875,0.0648,0.545246
122,-57.5,0.159,0.853,0.0723,0.54252
123,-47.0,-2.3625,0.83,0.0828,0.539808
124,41.5,2.3625,0.912,0.0575,0.537108
125,-47.5,-0.132,0.858,0.0835,0.534423
126,-44.0,-0.5115,0.848,0.078,0.531751
127,-94.5,-0.9435,0.855,0.106,0.529092
128,-1.0,1.242,0.874,0.067,0.526447
129,-126.0,-2.502,0.801,0.105,0.523814
130,-73.0,-1.6785,0.822,0.0892,0.521195
131,-83.5,-3.972,0.806,0.0873,0.518589
132,-6.0,1.2615,0.855,0.0672,0.515996
133,-2.5,0.1125,0.854,0.0708,0.513416
134,-44.0,1.6455,0.861,0.079,0.510849
135,-70.0,0.147,0.875,0.0872,0.508295
136,-54.0,-1.1415,0.86,0.0842,0.505754
137,-29.0,-0.291,0.886,0.0732,0.503225
138,-52.5,-1.926,0.831,0.088,0.500709
139,-98.0,-0.048,0.842,0.0977,0.498205
140,-36.5,-0.411,0.897,0.0735,0.495714
141,-10.5,3.003,0.911,0.075,0.493236
142,-11.5,-1.0425,0.853,0.07,0.490769
143,-44.5,-0.2145,0.81,0.0815,0.488316
144,-14.0,0.393,0.887,0.0665,0.485874
145,-50.5,-2.04,0.87,0.0775,0.483445
146,-44.0,0.2985,0.85,0.083,0.481027
147,7.5,0.738,0.879,0.063,0.478622
148,-51.5,-1.02,0.841,0.0798,0.476229
149,-4.5,-1.455,0.849,0.0697,0.473848
150,49.0,1.245,0.885,0.0477,0.471479
151,63.0,1.119,0.929,0.0455,0.469121
152,-42.0,-0.399,0.876,0.0767,0.466776
153,58.0,3.534,0.933,0.0603,0.464442
154,-48.0,-0.4275,0.82,0.0783,0.46212
155,4.0,-0.6165,0.876,0.0678,0.459809
156,38.5,1.7715,0.899,0.0542,0.45751
157,-6.0,1.434,0.858,0.0725,0.455222
158,15.0,1.7205,0.875,0.0633,0.452946
159,31.0,2.484,0.912,0.0535,0.450682
160,24.0,1.257,0.912,0.0607,0.448428
161,-19.0,0.1005,0.826,0.07,0.446186
162,4.5,-1.4895,0.866,0.059,0.443955
163,-26.0,-1.098,0.8,0.0752,0.441735
164,-3.0,-1.3215,0.86,0.0615,0.439527
165,50.0,1.557,0.899,0.0518,0.437329
166,27.5,-0.1875,0.846,0.0542,0.435142
167,-21.0,0.003,0.869,0.0703,0.432967
168,44.5,0.6255,0.91,0.0483,0.430802
169,28.5,0.5535,0.868,0.053,0.428648
170,32.5,0.3105,0.888,0.0488,0.426505
171,34.0,-0.2565,0.89,0.0545,0.424372
172,44.5,-0.2415,0.934,0.0508,0.42225
173,-16.5,-2.154,0.864,0.0658,0.420139
174,68.0,0.531,0.95,0.0385,0.418038
175,35.0,2.427,0.888,0.051,0.415948
176,63.5,2.5935,0.896,0.0502,0.413868
177,-24.0,-0.948,0.82,0.0718,0.411799
178,71.0,2.9055,0.923,0.0455,0.40974
179,20.5,0.417,0.874,0.0578,0.407691
180,-32.5,1.47,0.884,0.08,0.405653
181,14.5,0.705,0.919,0.0605,0.403625
182,32.5,1.0305,0.895,0.0518,0.401606
183,0.5,0.2895,0.867,0.0665,0.399598
184,-56.5,0.0705,0.841,0.092,0.3976
185,27.0,0.6045,0.916,0.0563,0.395612
186,-36.5,0.057,0.849,0.0742,0.393634
187,25.0,-0.225,0.866,0.0527,0.391666
188,-3.0,0.2865,0.862,0.071,0.389708
189,30.0,0.759,0.864,0.059,0.387759
190,29.5,1.5255,0.945,0.0555,0.385821
191,13.5,0.672,0.873,0.063,0.383891
192,75.0,3.5685,0.944,0.0528,0.381972
193,46.0,2.4405,0.888,0.0497,0.380062
194,5.0,-1.5135,0.882,0.058,0.378162
195,43.5,-1.602,0.867,0.0483,0.376271
196,68.5,0.5295,0.918,0.041,0.37439
